identifier,city,name,address,lat,lon,integration,type,limitMaxCost,limitMinCost,stepCost
90,Липецкая область,"Липецк, ул. 50 лет НЛМК Манеж",,46.21,45.432,318:23133,SelfService,4000,20,10
94,Пензенская область,58-МО-01- Кузнецк (DS3-50),,46.22,45.433,24133,SelfService,4000,20,10
252,Ташкентская область,АМС_Узбекистан_19 квартал,,46.23,45.434,24133,SelfService,4000,20,10
59,Липецкая область,"с. сырское, ул. Танкистов",,46.24,45.435,24133,SelfService,4000,20,10
207,Ташкентская область,АМС_Узбекистан_Зенит 6п,,46.25,45.436,24133,SelfService,4000,20,10
257,Ташкентская область,1,,46.26,45.437,24133,SelfService,4000,20,10
243,Ташкентская область,АМС_Узбекистан_Лимонария 5п,,46.27,45.438,24133,SelfService,4000,20,10
54,Липецкая область,"Липецк, ул. Студеновская Сокол доп",,46.28,45.439,24133,SelfService,4000,20,10
73,Липецкая область,"Липецк, ул. Меркулова Карусель",,46.29,45.440,24133,SelfService,4000,20,10
89,Москва / МО,50-М-03- Железнодорожный 6П3п,,46.30,45.441,24133,SelfService,4000,20,10
36,Липецкая область,Липецк Гагарина 1,,46.31,45.442,24133,SelfService,4000,20,10
219,Ташкентская область,АМС_Узбекистан_Бекабат 6п,,46.32,45.443,24133,SelfService,4000,20,10
242,Ташкентская область,АМС_Узбекистан_Ибн-Сино 6п,,46.33,45.444,318,SelfService,4000,20,10
108,Ивановская область, DS3-92_ИПГришинаМ.С,,46.34,45.445,318,SelfService,4000,20,10
167,Липецкая область,Липецк Ангарская 7,,46.35,45.446,318,SelfService,4000,20,10
178,Ташкентская область,АМС_Узбекистан_Куйлюк 6п,,46.36,45.447,318,SelfService,4000,20,10
220,Ташкентская область,АМС_Узбекистан_Сергири 6п,,46.37,45.448,318,SelfService,4000,20,10
118,Республика Крым,92 М-01 АМС г.Севастополь,92-МО-01-DS3-64 Севастополь,46.38,45.449,318,SelfService,4000,20,10
107,Ростовская область,DS1-161М2 Александровка,161-М-02 - Александровка - реставрация,46.39,45.450,318,SelfService,4000,20,10
208,Воронежская область,36 М-26 Портал Брусилова 4/1 (Автошина),ул.Брусилова,46.40,45.451,318,SelfService,4000,20,10
189,Воронежская область,36 М-26 Брусилова 4/1 (Автошина),ул.Брусилова,46.41,45.452,318,SelfService,4000,20,10
179,Воронежская область,36 М-23  ул.Шишкова 140 А/2,"ул. Шишкова, 140а/2",46.42,45.453,318,SelfService,4000,20,10
131,Москва / МО,77 М-06 Лыткарино Московская обл.,ул. Степана Степанова,46.43,45.454,318,SelfService,4000,20,10
2,Воронежская область,"36 М-02 ул. Машиностроителей, 10","ул. Солнечная, д. 8",46.44,45.455,318,SelfService,4000,20,10
15,Воронежская область,"36 М-13 ул.Новосибирская,69 (Машмет)",ул. Новосибирская д.69,,,,,,,
30,Ростовская область,161-М-04 - Комарова,ул Комарова,,,,,,,
18,Воронежская область,"36 М-12 ул. Димитрова, 159 (Твой дом)",ул. Димитрова 159,,,,,,,
120,Липецкая область,"Липецк, ул. Студеновская Сокол",Студеновская,,,,,,,
239,Краснодарский край,DS5-028_ИП Худотеплов_стан.Староминская,"стан.Староминская,ул.Железнодорожная-ул.Заводская",,,,,,,
88,Воронежская область,36 М-18 Новая Усмань,поселок Новая усмань ул. Солнечная,,,,,,,
191,Пензенская область,DS3-113_Бекешская,"Пенза_ул.Бекешская,13",,,,,,,
162,Пензенская область, DS4Pr-71_ИП_Евстифеев,Пенза_Ладожская105,,,,,,,
140,Москва / МО,77 М-08 Серпухов ,Московск.обл.г.Серпухов_ул.Чернышевского_7п,,,,,,,
224,Москва / МО,DS5-026_ИПДрозд_Белоозёрский_Воскресенск,Моск.обл.г.Белоозерскийул.Коммунальная12_4п,,,,,,,
226,Липецкая область,Липецк ул.Кривенкова Катукова,"Липецк_ул. Катукова, 43А_8п",,,,,,,
169,Пензенская область, DS3-96_ИП_Селезнев_Кузнецк,Кузнецк,,,,,,,
221,Москва / МО,DS5-024_Назарова_Клин,"Клин, ул. Ленинградское шоссе, 87А",,,,,,,
185,Мурманская область,DS3-108_ООО_Развитие_Кольский,"г.Мурманск,ш.Верхне-Ростинское,д.55",,,,,,,
195,Москва / МО,77 М-09 Скрябина,"г.Москва,ул.Академика Скрябина,21",,,,,,,
180,Мурманская область,DS3_104_ООО_Развитие_Кандалакша,г.Кандалакша_ул.Путейская2_4п,,,,,,,
52,Москва / МО,77 М-07  Шереметьево,"г. Химки,мкр.Клязьма_6п",,,,,,,
55,Тамбовская область,"68 М-02 Тамбов, Московская, 15Б",г. Тамбов ул Московская д. 15б,,,,,,,
164,Тамбовская область,"68 М-03 Тамбов, Комиссара Московского, 21",г. Тамбов ул. Комиссара Московского д. 21,,,,,,,
27,Тамбовская область,"68 М-01 Тамбов Агапкина, 2б",г. Тамбов ул. Агапкина д. 2б,,,,,,,
72,Самарская область,"163 М-01 Самара, ул.Алматинская, 200",г. Самара ул. Алма-Атинская 198,,,,,,,
192,Псковская область,60-М-01 Леона Поземского DS,г. Псков ул. Леона Поземского д. 113,,,,,,,
193,Псковская область,60-М-02 Гражданская DS,г. Псков ул. Гражданская 10б,,,,,,,
71,Пензенская область,58-М-02- пр. Строителей DS3-39,г. Пенза проспект Строителей 2г,,,,,,,
33,Пензенская область,58-М-01-Дальнее арбеково,г. Пенза дальнее Арбеково,,,,,,,
13,Воронежская область,36 М-09 Нововоронеж ,г. Нововоронеж Воронежское шоссе,,,,,,,
32,Москва / МО,"77 М-01 Москва Люблинская,70","г. Москва, ул. Люблинская д.70",,,,,,,
83,Республика Татарстан,Родины 49,г. Казань ,,,,,,,
106,Республика Татарстан,Тукая 111,г. Казань,,,,,,,
1,Воронежская область,"36 М-01 ул. 9 Января, 68","г. Воронеж, ул. 9-го января, д. 68, к. 3",45.455,45.455,,,,,
127,Воронежская область,"36 М-10  ул.С.Перовской, 1",г. Воронеж ул. Софьи Перовской 1А,,,,,,,
6,Воронежская область,"36 М-05 ул. Остужева, 35а","г. Воронеж, ул. Остужева 35а",,,,,,,
67,Воронежская область,"36 М-17 Острогожская, 148/4",г. Воронеж ул. Острогожская 138,,,,,,,
163,Воронежская область,"36 М-08 ул.Л. Шевцовой, 11",г. Воронеж ул. Любы Шевцовой д.11,,,,,,,
46,Воронежская область,36 М-14 Дорожная 84Д,г. Воронеж ул. Дорожная 84д,,,,,,,
3,Воронежская область,"36 М-03 ул. Димитрова, 91а","г. Воронеж, ул. Димитрова, д.91А",45.455,455.455,,,,,
66,Воронежская область,36 М-15 Брусилова 4Г,"г. Воронеж, Брусилова 4Г",,,,,,,
143,Москва / МО,77 М-05 Видное г.Москва ,"г. Видное, Белокаменское шоссе 5п",,,,,,,
186,Мурманская область,DS3-109_ООО_Развитие_Апатиты,"г. Апатиты, ул. Козлова, д.8а",,,,,,,
228,Воронежская область,"36 М-10 Портал ул.С.Перовской, 1","Воронеж,ул.СофьиПеровской,1.",,,,,,,
233,Воронежская область,36 М-28 ул. Кольцовская,"Воронеж_ул.Кольцовская,150Б",,,,,,,
235,Воронежская область,36-М-30 пр-т Патриотов 67г (Автошина),Воронеж_пр. Патриотов 67Г,,,,,,,
43,Воронежская область,36 М-25 Острогожская 111 (Шилово),Воронеж_Острогожская111,,,,,,,
211,Владимирская область,33 М-03 Кольчугино,Владимирскаяобл.г.Кольчугиноп.БелаяРечка_ул.Садовая1В_5п,,,,,,,
144,Владимирская область,Владимир Пром. проезд д.2 DS4S-017,Владимирская область Промышленный проезд д.2 DS4S-017,,,,,,,
9,Воронежская область,36-М-06 - Антонова-Овсеенко,Антонова-Овсеенко 35М,,,,,,,
153,Воронежская область,"36 М-04 ул. Антонова-Овсеенко, 17 в",Антонова-Овсеенко 17в,,,,,,,
194,Псковская область,60-М-03 Труда DS, г. Псков ул. Труда 27,,,,,,,
